"Label (Grouping)","Population 5 years and over","Population 5 years and over!!Speak only English","Population 5 years and over!!Speak a language other than English","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish!!65 years old and over","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!65 years old and over","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!65 years old and over","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!65 years old and over","CITIZENS 18 YEARS AND OVER","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak only English","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak a language other than English","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak a language other than English!!Spanish","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak a language other than English!!Other languages"
"            Estimate","93.3%","(X)","72.7%","","69.9%","94.5%","67.1%","35.4%","99.3%","100.0%","98.7%","100.0%","54.5%","100.0%","58.8%","15.7%","95.9%","100.0%","95.5%","100.0%","","95.0%","(X)","77.3%","75.7%","83.8%"
"            Margin of Error","±2.0","(X)","±6.9","","±7.4","±6.2","±9.3","±21.9","±1.5","±33.5","±2.5","±18.7","±23.5","±82.2","±25.2","±36.5","±8.4","±80.1","±10.9","±82.2","","±1.5","(X)","±6.5","±7.2","±11.3"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","2,325","(X)","2,325","","2,062","57","1,808","197","5","0","5","0","240","0","181","59","18","0","18","0","","1,288","(X)","1,288","1,111","177"
"            Margin of Error","±719","(X)","±719","","±696","±65","±684","±98","±9","±30","±9","±30","±163","±30","±139","±87","±28","±30","±28","±30","","±399","(X)","±399","±373","±129"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","6.7%","(X)","27.3%","","30.1%","5.5%","32.9%","64.6%","0.7%","0.0%","1.3%","0.0%","45.5%","0.0%","41.2%","84.3%","4.1%","0.0%","4.5%","0.0%","","5.0%","(X)","22.7%","24.3%","16.2%"
"            Margin of Error","±2.0","(X)","±6.9","","±7.4","±6.2","±9.3","±21.9","±1.5","±33.5","±2.5","±18.7","±23.5","±82.3","±25.2","±36.5","±8.4","±80.1","±10.9","±82.3","","±1.5","(X)","±6.5","±7.2","±11.3"
"ZCTA5 78641","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","72,434","58,935","13,499","","9,199","1,247","7,124","828","2,781","459","2,084","238","1,413","55","1,188","170","106","0","106","0","","51,513","43,802","7,711","5,604","2,107"
"        Margin of Error","±1,871","±2,182","±1,688","","±1,395","±406","±1,242","±285","±813","±245","±607","±117","±450","±60","±416","±105","±98","±33","±98","±33","","±1,502","±1,720","±1,048","±902","±569"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","81.4%","18.6%","","12.7%","1.7%","9.8%","1.1%","3.8%","0.6%","2.9%","0.3%","2.0%","0.1%","1.6%","0.2%","0.1%","0.0%","0.1%","0.0%","","(X)","85.0%","15.0%","10.9%","4.1%"
"        Margin of Error","(X)","±2.3","±2.3","","±1.9","±0.6","±1.7","±0.4","±1.1","±0.3","±0.8","±0.2","±0.6","±0.1","±0.6","±0.1","±0.1","±0.1","±0.1","±0.1","","(X)","±2.0","±2.0","±1.7","±1.1"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","68,338","(X)","9,403","","6,426","847","5,212","367","1,943","442","1,321","180","928","41","801","86","106","0","106","0","","49,787","(X)","5,985","4,603","1,382"
"            Margin of Error","±2,017","(X)","±1,401","","±1,142","±300","±1,072","±222","±633","±236","±437","±98","±372","±53","±357","±69","±98","±33","±98","±33","","±1,620","(X)","±962","±831","±437"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","94.3%","(X)","69.7%","","69.9%","67.9%","73.2%","44.3%","69.9%","96.3%","63.4%","75.6%","65.7%","74.5%","67.4%","50.6%","100.0%","-","100.0%","-","","96.6%","(X)","77.6%","82.1%","65.6%"
"            Margin of Error","±1.1","(X)","±5.1","","±6.0","±10.2","±6.5","±19.2","±8.4","±6.1","±9.5","±19.5","±15.5","±41.1","±16.2","±31.0","±33.1","**","±33.1","**","","±1.1","(X)","±6.5","±7.2","±13.1"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","4,096","(X)","4,096","","2,773","400","1,912","461","838","17","763","58","485","14","387","84","0","0","0","0","","1,726","(X)","1,726","1,001","725"
"            Margin of Error","±822","(X)","±822","","±672","±184","±527","±195","±319","±31","±292","±55","±262","±24","±217","±75","±33","±33","±33","±33","","±550","(X)","±550","±432","±355"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","5.7%","(X)","30.3%","","30.1%","32.1%","26.8%","55.7%","30.1%","3.7%","36.6%","24.4%","34.3%","25.5%","32.6%","49.4%","0.0%","-","0.0%","-","","3.4%","(X)","22.4%","17.9%","34.4%"
"            Margin of Error","±1.1","(X)","±5.1","","±6.0","±10.2","±6.5","±19.2","±8.4","±6.1","±9.5","±19.5","±15.5","±41.1","±16.2","±31.0","±33.1","**","±33.1","**","","±1.1","(X)","±6.5","±7.2","±13.1"
"ZCTA5 78645","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,390","9,865","1,525","","1,295","323","809","163","190","65","111","14","40","0","28","12","0","0","0","0","","9,230","8,489","741","634","107"
"        Margin of Error","±613","±691","±533","","±517","±189","±337","±97","±125","±79","±69","±18","±50","±22","±46","±19","±22","±22","±22","±22","","±607","±635","±258","±254","±61"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","86.6%","13.4%","","11.4%","2.8%","7.1%","1.4%","1.7%","0.6%","1.0%","0.1%","0.4%","0.0%","0.2%","0.1%","0.0%","0.0%","0.0%","0.0%","","(X)","92.0%","8.0%","6.9%","1.2%"
"        Margin of Error","(X)","±4.5","±4.5","","±4.4","±1.6","±2.9","±0.9","±1.1","±0.7","±0.6","±0.2","±0.4","±0.4","±0.4","±0.2","±0.4","±0.4","±0.4","±0.4","","(X)","±2.8","±2.8","±2.7","±0.7"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","10,882","(X)","1,017","","841","262","430","149","164","65","99","0","12","0","0","12","0","0","0","0","","9,149","(X)","660","579","81"
"            Margin of Error","±670","(X)","±333","","±333","±166","±188","±93","±125","±79","±68","±22","±19","±22","±22","±19","±22","±22","±22","±22","","±604","(X)","±239","±231","±58"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","95.5%","(X)","66.7%","","64.9%","81.1%","53.2%","91.4%","86.3%","100.0%","89.2%","0.0%","30.0%","-","0.0%","100.0%","-","-","-","-","","99.1%","(X)","89.1%","91.3%","75.7%"
"            Margin of Error","±3.2","(X)","±16.9","","±20.0","±28.4","±22.9","±14.2","±15.0","±43.3","±15.2","±93.3","±54.7","**","±65.9","±100.0","**","**","**","**","","±0.6","(X)","±6.6","±7.4","±22.4"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","508","(X)","508","","454","61","379","14","26","0","12","14","28","0","28","0","0","0","0","0","","81","(X)","81","55","26"
"            Margin of Error","±363","(X)","±363","","±359","±99","±282","±24","±23","±22","±16","±18","±46","±22","±46","±22","±22","±22","±22","±22","","±53","(X)","±53","±55","±23"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","4.5%","(X)","33.3%","","35.1%","18.9%","46.8%","8.6%","13.7%","0.0%","10.8%","100.0%","70.0%","-","100.0%","0.0%","-","-","-","-","","0.9%","(X)","10.9%","8.7%","24.3%"
"            Margin of Error","±3.2","(X)","±16.9","","±20.0","±28.4","±22.9","±14.2","±15.0","±43.3","±15.2","±93.3","±54.7","**","±65.9","±100.0","**","**","**","**","","±0.6","(X)","±6.6","±7.4","±22.4"
"ZCTA5 78652","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,429","4,164","1,265","","1,250","208","903","139","15","0","3","12","0","0","0","0","0","0","0","0","","4,278","3,609","669","666","3"
"        Margin of Error","±893","±713","±599","","±604","±174","±472","±120","±22","±20","±5","±21","±20","±20","±20","±20","±20","±20","±20","±20","","±652","±617","±366","±366","±5"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","76.7%","23.3%","","23.0%","3.8%","16.6%","2.6%","0.3%","0.0%","0.1%","0.2%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","(X)","84.4%","15.6%","15.6%","0.1%"
"        Margin of Error","(X)","±9.2","±9.2","","±9.3","±3.0","±7.4","±2.2","±0.4","±0.8","±0.1","±0.4","±0.8","±0.8","±0.8","±0.8","±0.8","±0.8","±0.8","±0.8","","(X)","±8.0","±8.0","±8.0","±0.1"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","4,874","(X)","710","","707","156","481","70","3","0","3","0","0","0","0","0","0","0","0","0","","4,115","(X)","506","503","3"
"            Margin of Error","±796","(X)","±463","","±462","±137","±356","±76","±5","±20","±5","±20","±20","±20","±20","±20","±20","±20","±20","±20","","±634","(X)","±357","±357","±5"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","89.8%","(X)","56.1%","","56.6%","75.0%","53.3%","50.4%","20.0%","-","100.0%","0.0%","-","-","-","-","-","-","-","-","","96.2%","(X)","75.6%","75.5%","100.0%"
"            Margin of Error","±6.6","(X)","±24.8","","±25.3","±38.4","±29.0","±44.5","±48.0","**","±100.0","±100.0","**","**","**","**","**","**","**","**","","±2.9","(X)","±21.8","±21.9","±100.0"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","555","(X)","555","","543","52","422","69","12","0","0","12","0","0","0","0","0","0","0","0","","163","(X)","163","163","0"
"            Margin of Error","±394","(X)","±394","","±400","±97","±339","±90","±21","±20","±20","±21","±20","±20","±20","±20","±20","±20","±20","±20","","±130","(X)","±130","±130","±20"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","10.2%","(X)","43.9%","","43.4%","25.0%","46.7%","49.6%","80.0%","-","0.0%","100.0%","-","-","-","-","-","-","-","-","","3.8%","(X)","24.4%","24.5%","0.0%"
"            Margin of Error","±6.6","(X)","±24.8","","±25.3","±38.4","±29.0","±44.5","±48.0","**","±100.0","±100.0","**","**","**","**","**","**","**","**","","±2.9","(X)","±21.8","±21.9","±100.0"
"ZCTA5 78653","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","26,377","14,699","11,678","","10,417","3,512","6,751","154","513","25","480","8","428","217","185","26","320","0","189","131","","16,611","11,565","5,046","4,222","824"
"        Margin of Error","±2,591","±2,038","±2,159","","±2,169","±1,142","±1,199","±103","±287","±40","±268","±14","±230","±206","±129","±21","±251","±26","±177","±183","","±2,050","±1,893","±998","±961","±315"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","55.7%","44.3%","","39.5%","13.3%","25.6%","0.6%","1.9%","0.1%","1.8%","0.0%","1.6%","0.8%","0.7%","0.1%","1.2%","0.0%","0.7%","0.5%","","(X)","69.6%","30.4%","25.4%","5.0%"
"        Margin of Error","(X)","±6.3","±6.3","","±6.4","±3.8","±3.4","±0.4","±1.1","±0.2","±1.1","±0.1","±0.9","±0.8","±0.5","±0.1","±1.0","±0.2","±0.7","±0.7","","(X)","±5.7","±5.7","±5.5","±1.9"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","22,573","(X)","7,874","","7,162","3,054","4,049","59","455","25","422","8","142","0","122","20","115","0","115","0","","15,550","(X)","3,985","3,420","565"
"            Margin of Error","±2,377","(X)","±1,934","","±1,946","±1,147","±917","±46","±272","±40","±251","±14","±85","±26","±77","±18","±134","±26","±134","±26","","±2,003","(X)","±932","±933","±226"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","85.6%","(X)","67.4%","","68.8%","87.0%","60.0%","38.3%","88.7%","100.0%","87.9%","100.0%","33.2%","0.0%","65.9%","76.9%","35.9%","-","60.8%","0.0%","","93.6%","(X)","79.0%","81.0%","68.6%"
"            Margin of Error","±2.2","(X)","±5.8","","±6.6","±7.5","±6.1","±30.8","±10.8","±69.8","±11.3","±100.0","±21.9","±18.6","±25.0","±36.4","±40.7","**","±51.6","±28.3","","±2.1","(X)","±6.7","±7.2","±20.9"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","3,804","(X)","3,804","","3,255","458","2,702","95","58","0","58","0","286","217","63","6","205","0","74","131","","1,061","(X)","1,061","802","259"
"            Margin of Error","±637","(X)","±637","","±672","±226","±547","±92","±56","±26","±56","±26","±213","±206","±78","±11","±214","±26","±120","±183","","±345","(X)","±345","±282","±219"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","14.4%","(X)","32.6%","","31.2%","13.0%","40.0%","61.7%","11.3%","0.0%","12.1%","0.0%","66.8%","100.0%","34.1%","23.1%","64.1%","-","39.2%","100.0%","","6.4%","(X)","21.0%","19.0%","31.4%"
"            Margin of Error","±2.2","(X)","±5.8","","±6.6","±7.5","±6.1","±30.8","±10.8","±69.8","±11.3","±100.0","±21.9","±18.6","±25.0","±36.4","±40.7","**","±51.6","±28.3","","±2.1","(X)","±6.7","±7.2","±20.9"
