"Label (Grouping)","Population 3 years and over enrolled in school","Population 3 years and over enrolled in school!!Nursery school, preschool","Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Males 18 to 24 years","Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Females 18 to 24 years","Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"        Estimate","(X)","5.1%","81.8%","5.2%","23.5%","27.9%","25.2%","9.2%","3.9%","13.1%","14.7%","11.3%","(X)","47.2%","(X)","79.8%","(X)","100.0%","(X)","98.3%","(X)","58.3%","(X)","33.8%","(X)","9.1%","(X)","1.9%","(X)","21.1%","(X)","16.8%","(X)","27.7%"
"        Margin of Error","(X)","±2.4","±5.8","±2.1","±5.2","±7.4","±5.2","±4.1","±4.5","±5.6","±9.6","±5.7","(X)","±16.6","(X)","±17.4","(X)","±2.1","(X)","±2.5","(X)","±26.0","(X)","±13.6","(X)","±9.3","(X)","±1.3","(X)","±12.3","(X)","±18.0","(X)","±21.9"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","263","4,713","318","1,391","1,615","1,389","346","225","571","325","246","(X)","263","(X)","1,410","(X)","2,045","(X)","957","(X)","121","(X)","315","(X)","268","(X)","168","(X)","211","(X)","25","(X)","186"
"        Margin of Error","(X)","±134","±705","±128","±348","±507","±329","±188","±274","±315","±281","±171","(X)","±134","(X)","±322","(X)","±535","(X)","±206","(X)","±91","(X)","±222","(X)","±275","(X)","±150","(X)","±169","(X)","±35","(X)","±166"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","90.1%","83.8%","93.6%","100.0%","96.1%","94.2%","89.4%","60.8%","94.1%","70.7%","65.9%","78.1%","(X)","83.8%","(X)","96.1%","(X)","95.3%","(X)","91.1%","(X)","62.7%","(X)","68.0%","(X)","100.0%","(X)","65.4%","(X)","58.8%","(X)","14.5%","(X)","100.0%"
"        Margin of Error","±4.6","±17.3","±4.1","±13.2","±4.7","±6.2","±7.5","±27.0","±18.4","±23.2","±34.5","±22.7","(X)","±17.3","(X)","±4.9","(X)","±5.0","(X)","±8.1","(X)","±34.1","(X)","±38.8","(X)","±15.4","(X)","±27.8","(X)","±41.2","(X)","±34.7","(X)","±21.3"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","51","322","0","57","100","165","223","14","237","168","69","(X)","51","(X)","57","(X)","100","(X)","93","(X)","72","(X)","148","(X)","0","(X)","89","(X)","148","(X)","148","(X)","0"
"        Margin of Error","(X)","±59","±218","±26","±73","±112","±128","±196","±26","±196","±190","±76","(X)","±59","(X)","±73","(X)","±112","(X)","±89","(X)","±87","(X)","±189","(X)","±26","(X)","±73","(X)","±189","(X)","±189","(X)","±26"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9.9%","16.2%","6.4%","0.0%","3.9%","5.8%","10.6%","39.2%","5.9%","29.3%","34.1%","21.9%","(X)","16.2%","(X)","3.9%","(X)","4.7%","(X)","8.9%","(X)","37.3%","(X)","32.0%","(X)","0.0%","(X)","34.6%","(X)","41.2%","(X)","85.5%","(X)","0.0%"
"        Margin of Error","±4.6","±17.3","±4.1","±13.2","±4.7","±6.2","±7.5","±27.0","±18.4","±23.2","±34.5","±22.7","(X)","±17.3","(X)","±4.9","(X)","±5.0","(X)","±8.1","(X)","±34.1","(X)","±38.8","(X)","±15.4","(X)","±27.8","(X)","±41.2","(X)","±34.7","(X)","±21.3"
"ZCTA5 78634","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,005","796","7,438","568","2,378","2,123","2,369","2,436","335","2,771","1,259","1,512","895","620","2,808","2,763","2,724","2,653","1,688","1,688","744","495","2,086","978","5,518","944","19,273","864","2,830","1,072","1,195","546","1,635","526"
"        Margin of Error","±978","±219","±803","±212","±511","±468","±534","±513","±172","±536","±376","±408","±233","±205","±536","±526","±554","±528","±372","±372","±289","±236","±853","±553","±915","±335","±1,518","±334","±916","±401","±405","±311","±669","±198"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","7.2%","67.6%","5.2%","21.6%","19.3%","21.5%","22.1%","3.0%","25.2%","24.5%","25.8%","(X)","69.3%","(X)","98.4%","(X)","97.4%","(X)","100.0%","(X)","66.5%","(X)","46.9%","(X)","17.1%","(X)","4.5%","(X)","37.9%","(X)","45.7%","(X)","32.2%"
"        Margin of Error","(X)","±2.0","±4.0","±1.9","±3.9","±4.1","±4.6","±4.0","±1.6","±4.3","±6.6","±5.6","(X)","±11.1","(X)","±2.0","(X)","±3.3","(X)","±2.6","(X)","±19.4","(X)","±12.4","(X)","±5.9","(X)","±1.7","(X)","±9.0","(X)","±17.6","(X)","±13.8"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","387","6,739","552","2,141","1,768","2,278","1,778","141","1,919","954","965","(X)","236","(X)","2,485","(X)","2,298","(X)","1,607","(X)","385","(X)","953","(X)","514","(X)","567","(X)","937","(X)","436","(X)","501"
"        Margin of Error","(X)","±133","±771","±209","±499","±381","±530","±441","±95","±446","±318","±307","(X)","±117","(X)","±500","(X)","±444","(X)","±366","(X)","±155","(X)","±552","(X)","±226","(X)","±279","(X)","±364","(X)","±256","(X)","±191"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","82.2%","48.6%","90.6%","97.2%","90.0%","83.3%","96.2%","73.0%","42.1%","69.3%","75.8%","63.8%","(X)","38.1%","(X)","89.9%","(X)","86.6%","(X)","95.2%","(X)","77.8%","(X)","97.4%","(X)","54.4%","(X)","65.6%","(X)","87.4%","(X)","79.9%","(X)","95.2%"
"        Margin of Error","±4.7","±16.3","±4.6","±4.8","±6.8","±11.2","±3.4","±10.7","±23.3","±9.8","±9.6","±14.7","(X)","±19.9","(X)","±6.2","(X)","±9.3","(X)","±4.6","(X)","±16.6","(X)","±5.1","(X)","±16.1","(X)","±18.7","(X)","±10.4","(X)","±17.8","(X)","±8.6"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","409","699","16","237","355","91","658","194","852","305","547","(X)","384","(X)","278","(X)","355","(X)","81","(X)","110","(X)","25","(X)","430","(X)","297","(X)","135","(X)","110","(X)","25"
"        Margin of Error","(X)","±197","±354","±28","±168","±282","±79","±294","±134","±318","±142","±285","(X)","±200","(X)","±183","(X)","±282","(X)","±77","(X)","±108","(X)","±48","(X)","±224","(X)","±198","(X)","±117","(X)","±108","(X)","±48"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17.8%","51.4%","9.4%","2.8%","10.0%","16.7%","3.8%","27.0%","57.9%","30.7%","24.2%","36.2%","(X)","61.9%","(X)","10.1%","(X)","13.4%","(X)","4.8%","(X)","22.2%","(X)","2.6%","(X)","45.6%","(X)","34.4%","(X)","12.6%","(X)","20.1%","(X)","4.8%"
"        Margin of Error","±4.7","±16.3","±4.6","±4.8","±6.8","±11.2","±3.4","±10.7","±23.3","±9.8","±9.6","±14.7","(X)","±19.9","(X)","±6.2","(X)","±9.3","(X)","±4.6","(X)","±16.6","(X)","±5.1","(X)","±16.1","(X)","±18.7","(X)","±10.4","(X)","±17.8","(X)","±8.6"
"ZCTA5 78641","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","21,979","1,885","16,117","937","5,426","5,241","4,513","3,213","764","3,977","1,846","2,131","2,876","1,394","6,293","6,088","6,990","6,614","3,058","2,993","1,582","1,148","3,890","1,486","10,449","1,091","40,172","1,165","5,472","1,721","2,600","791","2,872","930"
"        Margin of Error","±1,335","±461","±1,155","±229","±619","±714","±532","±535","±287","±609","±425","±403","±543","±360","±671","±625","±591","±713","±419","±418","±365","±337","±706","±394","±1,071","±391","±1,445","±256","±738","±411","±509","±311","±538","±289"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","8.6%","73.3%","4.3%","24.7%","23.8%","20.5%","14.6%","3.5%","18.1%","17.5%","18.6%","(X)","48.5%","(X)","96.7%","(X)","94.6%","(X)","97.9%","(X)","72.6%","(X)","38.2%","(X)","10.4%","(X)","2.9%","(X)","31.5%","(X)","30.4%","(X)","32.4%"
"        Margin of Error","(X)","±2.1","±3.2","±1.1","±2.3","±2.8","±2.2","±2.0","±1.3","±2.2","±3.4","±3.0","(X)","±10.3","(X)","±2.1","(X)","±4.5","(X)","±1.8","(X)","±10.0","(X)","±10.8","(X)","±3.8","(X)","±0.6","(X)","±7.9","(X)","±11.0","(X)","±9.2"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","924","15,242","771","5,249","4,934","4,288","2,795","445","3,240","1,574","1,666","(X)","772","(X)","5,455","(X)","6,244","(X)","2,818","(X)","1,078","(X)","1,372","(X)","924","(X)","743","(X)","1,573","(X)","687","(X)","886"
"        Margin of Error","(X)","±271","±1,145","±215","±611","±671","±526","±523","±238","±597","±399","±386","(X)","±250","(X)","±632","(X)","±677","(X)","±400","(X)","±333","(X)","±369","(X)","±364","(X)","±235","(X)","±393","(X)","±296","(X)","±286"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88.3%","49.0%","94.6%","82.3%","96.7%","94.1%","95.0%","87.0%","58.2%","81.5%","85.3%","78.2%","(X)","55.4%","(X)","89.6%","(X)","94.4%","(X)","94.2%","(X)","93.9%","(X)","92.3%","(X)","84.7%","(X)","63.8%","(X)","91.4%","(X)","86.9%","(X)","95.3%"
"        Margin of Error","±2.6","±11.2","±1.6","±10.7","±1.5","±3.4","±3.1","±6.0","±18.7","±6.6","±6.6","±9.3","(X)","±11.2","(X)","±4.2","(X)","±2.9","(X)","±4.0","(X)","±5.4","(X)","±6.3","(X)","±12.7","(X)","±13.5","(X)","±5.6","(X)","±10.0","(X)","±7.6"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","961","875","166","177","307","225","418","319","737","272","465","(X)","622","(X)","633","(X)","370","(X)","175","(X)","70","(X)","114","(X)","167","(X)","422","(X)","148","(X)","104","(X)","44"
"        Margin of Error","(X)","±354","±255","±108","±84","±188","±139","±197","±167","±269","±128","±210","(X)","±227","(X)","±260","(X)","±200","(X)","±125","(X)","±62","(X)","±101","(X)","±149","(X)","±174","(X)","±102","(X)","±78","(X)","±74"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11.7%","51.0%","5.4%","17.7%","3.3%","5.9%","5.0%","13.0%","41.8%","18.5%","14.7%","21.8%","(X)","44.6%","(X)","10.4%","(X)","5.6%","(X)","5.8%","(X)","6.1%","(X)","7.7%","(X)","15.3%","(X)","36.2%","(X)","8.6%","(X)","13.1%","(X)","4.7%"
"        Margin of Error","±2.6","±11.2","±1.6","±10.7","±1.5","±3.4","±3.1","±6.0","±18.7","±6.6","±6.6","±9.3","(X)","±11.2","(X)","±4.2","(X)","±2.9","(X)","±4.0","(X)","±5.4","(X)","±6.3","(X)","±12.7","(X)","±13.5","(X)","±5.6","(X)","±10.0","(X)","±7.6"
"ZCTA5 78645","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,932","62","1,560","93","298","673","496","222","88","310","150","160","73","4","411","407","760","755","497","432","69","35","258","125","1,175","119","8,220","55","327","125","247","75","80","50"
"        Margin of Error","±304","±52","±268","±87","±109","±167","±183","±86","±74","±111","±72","±82","±78","±7","±190","±190","±170","±171","±153","±160","±46","±42","±119","±71","±360","±68","±595","±31","±139","±71","±140","±60","±45","±38"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","3.2%","80.7%","4.8%","15.4%","34.8%","25.7%","11.5%","4.6%","16.0%","14.0%","18.6%","(X)","5.5%","(X)","99.0%","(X)","99.3%","(X)","86.9%","(X)","50.7%","(X)","48.4%","(X)","10.1%","(X)","0.7%","(X)","38.2%","(X)","30.4%","(X)","62.5%"
"        Margin of Error","(X)","±2.6","±5.4","±4.4","±5.2","±7.6","±7.9","±4.2","±3.7","±5.3","±6.8","±8.3","(X)","±13.0","(X)","±1.5","(X)","±1.0","(X)","±12.3","(X)","±37.3","(X)","±20.8","(X)","±6.2","(X)","±0.4","(X)","±18.4","(X)","±21.4","(X)","±29.9"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","50","1,399","93","298","580","428","213","49","262","111","151","(X)","4","(X)","395","(X)","652","(X)","374","(X)","35","(X)","125","(X)","103","(X)","23","(X)","125","(X)","75","(X)","50"
"        Margin of Error","(X)","±55","±272","±87","±109","±159","±163","±85","±67","±104","±63","±79","(X)","±7","(X)","±190","(X)","±163","(X)","±142","(X)","±42","(X)","±71","(X)","±68","(X)","±15","(X)","±71","(X)","±60","(X)","±38"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88.6%","80.6%","89.7%","100.0%","100.0%","86.2%","86.3%","95.9%","55.7%","84.5%","74.0%","94.4%","(X)","100.0%","(X)","97.1%","(X)","86.4%","(X)","86.6%","(X)","100.0%","(X)","100.0%","(X)","86.6%","(X)","41.8%","(X)","100.0%","(X)","100.0%","(X)","100.0%"
"        Margin of Error","±7.8","±38.8","±9.2","±36.0","±14.0","±11.6","±13.4","±4.5","±43.0","±11.7","±21.3","±7.8","(X)","±100.0","(X)","±4.8","(X)","±10.6","(X)","±15.1","(X)","±59.0","(X)","±29.4","(X)","±20.5","(X)","±28.3","(X)","±29.4","(X)","±40.3","(X)","±49.3"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","12","161","0","0","93","68","9","39","48","39","9","(X)","0","(X)","12","(X)","103","(X)","58","(X)","0","(X)","0","(X)","16","(X)","32","(X)","0","(X)","0","(X)","0"
"        Margin of Error","(X)","±18","±151","±22","±22","±82","±78","±10","±36","±37","±35","±13","(X)","±22","(X)","±18","(X)","±84","(X)","±76","(X)","±22","(X)","±22","(X)","±24","(X)","±28","(X)","±22","(X)","±22","(X)","±22"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11.4%","19.4%","10.3%","0.0%","0.0%","13.8%","13.7%","4.1%","44.3%","15.5%","26.0%","5.6%","(X)","0.0%","(X)","2.9%","(X)","13.6%","(X)","13.4%","(X)","0.0%","(X)","0.0%","(X)","13.4%","(X)","58.2%","(X)","0.0%","(X)","0.0%","(X)","0.0%"
"        Margin of Error","±7.8","±38.8","±9.2","±36.0","±14.0","±11.6","±13.4","±4.5","±43.0","±11.7","±21.3","±7.8","(X)","±100.0","(X)","±4.8","(X)","±10.6","(X)","±15.1","(X)","±59.0","(X)","±29.4","(X)","±20.5","(X)","±28.3","(X)","±29.4","(X)","±40.3","(X)","±49.4"
"ZCTA5 78652","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","830","39","649","50","202","229","168","69","73","142","67","75","111","39","291","240","279","253","157","156","0","0","173","28","837","103","3,692","11","173","28","88","28","85","0"
"        Margin of Error","±313","±35","±254","±51","±136","±135","±104","±71","±61","±94","±56","±66","±85","±35","±162","±140","±166","±141","±98","±97","±20","±20","±97","±41","±237","±82","±668","±16","±97","±41","±64","±41","±68","±20"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4.7%","78.2%","6.0%","24.3%","27.6%","20.2%","8.3%","8.8%","17.1%","16.9%","17.3%","(X)","35.1%","(X)","82.5%","(X)","90.7%","(X)","99.4%","(X)","-","(X)","16.2%","(X)","12.3%","(X)","0.3%","(X)","16.2%","(X)","31.8%","(X)","0.0%"
"        Margin of Error","(X)","±4.3","±10.0","±6.3","±11.9","±12.8","±11.5","±7.6","±6.8","±8.4","±11.8","±13.4","(X)","±29.9","(X)","±26.4","(X)","±13.9","(X)","±5.8","(X)","**","(X)","±22.4","(X)","±9.1","(X)","±0.4","(X)","±22.4","(X)","±39.9","(X)","±37.8"
