"Label (Grouping)","Families","Families!!With related children of householder under 18 years","Families!!With related children of householder under 18 years!!With related children of householder under 5 years","Families!!With related children of householder under 18 years!!With related children of householder under 5 years and 5 to 17 years","Families!!With related children of householder under 18 years!!With related children of householder 5 to 17  years","Families!!RACE AND HISPANIC OR LATINO ORIGIN","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Black or African American alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!American Indian and Alaska Native alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Asian alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Native Hawaiian and Other Pacific Islander alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Some other race alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Two or more races","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Hispanic or Latino origin (of any race)","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone, not Hispanic or Latino","Families!!Householder worked","Families!!Householder worked!!Householder worked full-time, year-round in the past 12 months","Families!!Householder 65 years and over","Families!!Family received --","Families!!Family received --!!Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months","Families!!Family received --!!Social security income in the past 12 months","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college, associate's degree","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No child","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 children","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 children","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more children","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No own child of the householder","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 own children of the householder","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 own children of the householder","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more own children of the householder","Families!!NUMBER OF PEOPLE IN FAMILY","Families!!NUMBER OF PEOPLE IN FAMILY!!2 people","Families!!NUMBER OF PEOPLE IN FAMILY!!3 or 4 people","Families!!NUMBER OF PEOPLE IN FAMILY!!5 or 6 people","Families!!NUMBER OF PEOPLE IN FAMILY!!7 or more people","Families!!NUMBER OF WORKERS IN FAMILY","Families!!NUMBER OF WORKERS IN FAMILY!!No workers","Families!!NUMBER OF WORKERS IN FAMILY!!1 worker","Families!!NUMBER OF WORKERS IN FAMILY!!2 workers","Families!!NUMBER OF WORKERS IN FAMILY!!3 or more workers","Families!!INCOME DEFICIT","Families!!INCOME DEFICIT!!Mean income deficit for families (dollars)","Families!!TENURE","Families!!TENURE!!Owner occupied","Families!!TENURE!!Renter Occupied","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!50 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!125 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!150 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!185 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!200 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!300 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!400 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!500 percent of poverty level"
"            Margin of Error","±445","±454","±103","±63","±446","","","±394","±131","±19","±65","±53","±40","±157","±224","±359","±409","±374","±95","","±106","±139","","±83","±239","±223","±331","","±195","±456","±78","±12","","±212","±443","±78","±12","","±340","±329","±61","±33","","±130","±409","±194","±62","","N","","±349","±258","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","19.0%","18.9%","14.9%","68.8%","16.6%","","","15.4%","25.9%","0.0%","30.3%","100.0%","0.0%","31.0%","29.7%","10.7%","16.2%","7.0%","23.4%","","19.3%","6.9%","","37.8%","32.3%","22.5%","6.6%","","19.0%","17.8%","30.5%","100.0%","","14.7%","20.1%","31.3%","100.0%","","19.5%","19.3%","3.7%","-","","44.5%","22.8%","4.0%","0.0%","","(X)","","17.6%","20.4%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±6.0","±7.7","±22.8","±32.3","±7.9","","","±5.7","±25.6","±100.0","±39.3","±52.0","±53.2","±44.8","±14.2","±6.0","±6.3","±6.2","±24.2","","±23.0","±12.4","","±37.5","±16.3","±10.5","±6.2","","±11.2","±8.2","±30.5","±100.0","","±8.9","±9.3","±31.2","±100.0","","±9.1","±9.2","±15.3","**","","±24.5","±9.2","±3.8","±40.3","","(X)","","±8.0","±9.4","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"ZCTA5 78615","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","293","165","9","77","79","","","238","0","15","0","0","7","33","97","194","236","199","51","","1","88","","13","92","130","58","","128","62","103","0","","138","62","93","0","","126","57","95","15","","37","112","98","46","","-","","235","58","","0","21","41","49","60","115","193","205"
"            Margin of Error","±88","±73","±10","±67","±40","","","±65","±14","±23","±14","±14","±11","±52","±74","±54","±80","±75","±25","","±5","±35","","±16","±73","±52","±29","","±44","±34","±70","±14","","±48","±34","±67","±14","","±44","±35","±66","±23","","±26","±45","±60","±37","","**","","±77","±40","","±14","±19","±33","±35","±40","±73","±84","±83"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","0.0%","0.0%","0.0%","0.0%","0.0%","","","0.0%","-","0.0%","-","-","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","0.0%","0.0%","","0.0%","0.0%","0.0%","0.0%","","0.0%","0.0%","0.0%","-","","0.0%","0.0%","0.0%","-","","0.0%","0.0%","0.0%","0.0%","","0.0%","0.0%","0.0%","0.0%","","(X)","","0.0%","0.0%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±14.2","±23.6","±100.0","±39.8","±39.3","","","±17.1","**","±90.1","**","**","±100.0","±60.7","±35.0","±20.5","±17.3","±20.1","±48.9","","±100.0","±37.1","","±96.8","±36.2","±28.5","±45.8","","±28.9","±44.3","±33.7","**","","±27.2","±44.3","±36.0","**","","±29.2","±46.2","±35.5","±90.1","","±57.4","±31.8","±34.8","±51.5","","(X)","","±17.3","±45.8","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","201","97","0","39","58","","","146","0","15","0","0","7","33","63","136","146","120","49","","1","67","","11","77","83","30","","104","32","65","0","","104","32","65","0","","94","35","57","15","","37","44","95","25","","-","","198","3","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±76","±55","±14","±53","±32","","","±48","±14","±23","±14","±14","±11","±52","±64","±47","±64","±62","±25","","±5","±35","","±15","±67","±37","±19","","±44","±23","±58","±14","","±44","±23","±58","±14","","±44","±24","±54","±23","","±26","±21","±59","±26","","**","","±75","±6","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","0.0%","0.0%","-","0.0%","0.0%","","","0.0%","-","0.0%","-","-","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","0.0%","0.0%","","0.0%","0.0%","0.0%","0.0%","","0.0%","0.0%","0.0%","-","","0.0%","0.0%","0.0%","-","","0.0%","0.0%","0.0%","0.0%","","0.0%","0.0%","0.0%","0.0%","","(X)","","0.0%","0.0%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±19.9","±35.0","**","±55.9","±45.8","","","±26.0","**","±90.1","**","**","±100.0","±60.7","±44.0","±27.5","±26.0","±30.3","±49.9","","±100.0","±42.6","","±100.0","±39.8","±38.3","±63.7","","±33.5","±61.7","±43.3","**","","±33.5","±61.7","±43.3","**","","±35.7","±59.0","±46.2","±90.1","","±57.4","±52.6","±35.5","±69.8","","(X)","","±20.2","±100.0","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female householder, no spouse present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","65","53","9","23","21","","","65","0","0","0","0","0","0","34","31","63","52","2","","0","9","","2","0","47","16","","12","30","23","0","","22","30","13","0","","20","22","23","0","","0","41","3","21","","-","","25","40","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±37","±34","±10","±25","±23","","","±37","±14","±14","±14","±14","±14","±14","±30","±21","±36","±32","±3","","±14","±11","","±3","±14","±33","±15","","±11","±25","±25","±14","","±20","±25","±18","±14","","±15","±24","±25","±14","","±14","±28","±3","±25","","**","","±20","±29","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","0.0%","0.0%","0.0%","0.0%","0.0%","","","0.0%","-","-","-","-","-","-","0.0%","0.0%","0.0%","0.0%","0.0%","","-","0.0%","","0.0%","-","0.0%","0.0%","","0.0%","0.0%","0.0%","-","","0.0%","0.0%","0.0%","-","","0.0%","0.0%","0.0%","-","","-","0.0%","0.0%","0.0%","","(X)","","0.0%","0.0%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±43.3","±47.9","±100.0","±72.8","±76.1","","","±43.3","**","**","**","**","**","**","±59.8","±62.7","±44.0","±48.4","±100.0","","**","±100.0","","±100.0","**","±50.9","±87.2","","±100.0","±63.7","±72.8","**","","±74.4","±63.7","±96.8","**","","±78.0","±74.4","±72.8","**","","**","±54.5","±100.0","±76.1","","(X)","","±69.8","±55.2","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"ZCTA5 78617","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","5,680","3,571","488","805","2,278","","","2,380","489","0","31","0","2,528","252","3,964","1,178","4,657","3,576","581","","237","692","","1,503","1,986","1,075","1,116","","2,109","2,567","968","36","","2,560","2,314","806","0","","1,497","2,520","1,417","246","","458","1,409","2,623","1,190","","N","","4,661","1,019","","325","909","1,273","1,715","1,914","2,880","3,602","4,350"
"            Margin of Error","±641","±502","±361","±189","±460","","","±492","±131","±26","±32","±26","±505","±212","±558","±409","±618","±604","±263","","±148","±252","","±382","±436","±301","±466","","±558","±501","±217","±32","","±557","±480","±215","±26","","±357","±566","±292","±111","","±219","±326","±505","±246","","N","","±594","±295","","±175","±283","±350","±513","±504","±496","±503","±537"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","11.6%","15.2%","11.7%","21.2%","13.8%","","","5.4%","16.0%","-","0.0%","-","16.8%","11.5%","14.0%","2.3%","8.7%","7.3%","18.4%","","0.0%","9.7%","","25.0%","5.5%","13.1%","3.1%","","5.6%","13.9%","19.1%","0.0%","","8.0%","14.9%","13.8%","-","","8.6%","14.6%","8.6%","17.1%","","43.9%","23.8%","3.9%","1.8%","","(X)","","7.8%","29.2%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±4.2","±5.8","±12.2","±13.5","±6.9","","","±3.7","±17.5","**","±62.7","**","±8.2","±18.0","±5.5","±3.5","±3.5","±3.9","±17.7","","±17.2","±8.0","","±10.8","±4.5","±7.7","±3.9","","±5.2","±7.0","±10.2","±58.2","","±5.4","±8.0","±11.1","**","","±7.0","±6.9","±6.9","±17.4","","±25.7","±9.1","±3.0","±3.1","","(X)","","±3.4","±12.8","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","3,940","2,269","373","547","1,349","","","1,865","174","0","31","0","1,692","178","2,729","1,006","3,307","2,717","294","","171","430","","938","1,267","779","956","","1,671","1,611","658","0","","1,840","1,482","618","0","","881","1,725","1,166","168","","211","648","2,126","955","","N","","3,406","534","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±579","±418","±343","±195","±341","","","±474","±130","±26","±32","±26","±483","±199","±527","±400","±526","±522","±190","","±131","±208","","±310","±398","±248","±448","","±510","±444","±200","±26","","±511","±441","±188","±26","","±265","±480","±295","±103","","±151","±211","±475","±230","","N","","±546","±202","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","5.5%","8.8%","3.2%","18.5%","6.4%","","","2.7%","0.0%","-","0.0%","-","9.9%","0.0%","7.8%","0.5%","4.5%","4.1%","0.0%","","0.0%","0.0%","","16.5%","2.2%","2.7%","1.5%","","1.1%","6.1%","15.3%","-","","1.0%","6.6%","16.3%","-","","0.0%","5.6%","10.5%","0.0%","","6.6%","20.5%","2.4%","2.2%","","(X)","","3.5%","18.7%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±3.2","±5.6","±5.5","±16.0","±6.1","","","±2.8","±22.5","**","±62.7","**","±7.2","±22.1","±4.6","±0.8","±3.3","±3.6","±14.2","","±22.9","±9.9","","±10.6","±2.2","±4.7","±2.1","","±1.3","±5.3","±13.3","**","","±1.1","±5.8","±14.0","**","","±5.0","±4.2","±8.4","±23.2","","±11.1","±15.0","±2.6","±3.8","","(X)","","±2.9","±13.3","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female householder, no spouse present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","1,294","1,078","78","216","784","","","412","210","0","0","0","660","12","943","141","977","519","217","","25","216","","487","484","222","101","","216","794","248","36","","498","670","126","0","","319","666","231","78","","234","464","413","183","","N","","906","388","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±297","±280","±71","±115","±247","","","±143","±127","±26","±26","±26","±224","±18","±245","±82","±264","±194","±128","","±32","±114","","±194","±162","±129","±89","","±124","±246","±128","±32","","±175","±233","±95","±26","","±137","±215","±111","±57","","±168","±173","±173","±103","","N","","±259","±180","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","31.6%","28.8%","35.9%","32.4%","27.0%","","","18.9%","37.1%","-","-","-","36.5%","100.0%","32.8%","15.6%","22.7%","22.4%","49.3%","","0.0%","31.0%","","41.9%","16.7%","46.4%","20.8%","","45.8%","28.5%","33.9%","0.0%","","37.3%","31.8%","7.9%","-","","35.1%","38.3%","0.0%","53.8%","","79.9%","39.9%","9.0%","0.0%","","(X)","","23.3%","51.0%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±12.6","±13.1","±42.6","±26.1","±16.5","","","±15.7","±38.0","**","**","**","±19.7","±100.0","±15.2","±25.3","±10.6","±15.5","±35.9","","±69.8","±20.9","","±23.2","±16.6","±24.7","±30.8","","±32.0","±16.7","±19.9","±58.2","","±20.9","±19.3","±12.7","**","","±26.2","±18.7","±17.6","±34.0","","±22.3","±17.3","±10.4","±21.6","","(X)","","±11.4","±25.0","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"ZCTA5 78620","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","5,296","2,492","362","289","1,841","","","4,961","59","0","82","19","37","138","843","4,245","3,988","2,690","962","","141","1,177","","325","730","1,290","2,951","","2,804","2,101","374","17","","2,966","1,958","355","17","","2,447","2,166","620","63","","650","1,301","2,550","795","","11,553","","4,647","649","","151","320","405","506","646","1,101","1,644","2,168"
"            Margin of Error","±451","±370","±145","±102","±312","","","±424","±62","±22","±60","±38","±48","±135","±258","±401","±432","±333","±183","","±78","±175","","±187","±192","±259","±410","","±288","±391","±136","±18","","±309","±390","±130","±18","","±314","±342","±210","±46","","±174","±242","±369","±272","","±4,205","","±492","±203","","±116","±146","±159","±165","±212","±271","±300","±327"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","5.6%","6.1%","9.1%","15.9%","4.0%","","","5.9%","0.0%","-","0.0%","0.0%","16.2%","0.0%","21.1%","2.8%","3.9%","2.9%","7.2%","","17.7%","2.0%","","43.1%","14.8%","2.2%","0.7%","","5.2%","5.1%","12.3%","0.0%","","5.3%","5.9%","7.6%","0.0%","","6.3%","4.2%","4.2%","42.9%","","13.8%","9.2%","2.4%","3.4%","","(X)","","2.8%","26.0%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±2.7","±4.8","±13.3","±15.8","±4.8","","","±2.8","±45.4","**","±38.5","±80.1","±28.6","±27.2","±14.4","±1.9","±2.6","±2.4","±6.4","","±25.5","±2.5","","±29.7","±11.7","±3.0","±0.9","","±3.3","±4.8","±12.8","±84.6","","±3.1","±5.3","±10.1","±84.6","","±4.0","±3.4","±8.2","±40.8","","±10.7","±7.2","±2.6","±4.5","","(X)","","±1.9","±16.1","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","4,638","2,088","329","238","1,521","","","4,328","59","0","82","19","37","113","582","3,855","3,465","2,409","872","","141","1,009","","91","646","1,132","2,769","","2,550","1,716","355","17","","2,584","1,682","355","17","","2,139","1,816","620","63","","577","1,063","2,289","709","","8,822","","4,290","348","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±439","±341","±127","±94","±289","","","±403","±62","±22","±60","±38","±48","±133","±245","±379","±398","±315","±184","","±78","±174","","±72","±177","±252","±383","","±285","±350","±130","±18","","±283","±344","±130","±18","","±289","±304","±210","±46","","±165","±187","±329","±256","","±4,277","","±455","±131","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
